"","Platform","Year_of_Release","Genre","Publisher","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"1","Wii","2006","Sports","Nintendo",82.53,76,51,"8",322,"Nintendo","E"
"3","Wii","2008","Racing","Nintendo",35.52,82,73,"8.3",709,"Nintendo","E"
"4","Wii","2009","Sports","Nintendo",32.77,80,73,"8",192,"Nintendo","E"
"7","DS","2006","Platform","Nintendo",29.8,89,65,"8.5",431,"Nintendo","E"
"8","Wii","2006","Misc","Nintendo",28.92,58,41,"6.6",129,"Nintendo","E"
"9","Wii","2009","Platform","Nintendo",28.32,87,80,"8.4",594,"Nintendo","E"
"12","DS","2005","Racing","Nintendo",23.21,91,64,"8.6",464,"Nintendo","E"
"14","Wii","2007","Sports","Nintendo",22.7,80,63,"7.7",146,"Nintendo","E"
"15","X360","2010","Misc","Microsoft Game Studios",21.81,61,45,"6.3",106,"Good Science Studio","E"
"16","Wii","2009","Sports","Nintendo",21.79,80,33,"7.4",52,"Nintendo","E"
"17","PS3","2013","Action","Take-Two Interactive",21.04,97,50,"8.2",3994,"Rockstar North","M"
"18","PS2","2004","Action","Take-Two Interactive",20.81,95,80,"9",1588,"Rockstar North","M"
"20","DS","2005","Misc","Nintendo",20.15,77,58,"7.9",50,"Nintendo","E"
"24","X360","2013","Action","Take-Two Interactive",16.27,97,58,"8.1",3711,"Rockstar North","M"
"25","PS2","2002","Action","Take-Two Interactive",16.15,95,62,"8.7",730,"Rockstar North","M"
"27","DS","2005","Puzzle","Nintendo",15.29,77,37,"7.1",19,"Nintendo","E"
"29","PS2","2001","Racing","Sony Computer Entertainment",14.98,95,54,"8.4",314,"Polyphony Digital","E"
"30","X360","2011","Shooter","Activision",14.73,88,81,"3.4",8713,"Infinity Ward, Sledgehammer Games","M"
"33","X360","2010","Shooter","Activision",14.61,87,89,"6.3",1454,"Treyarch","M"
"35","PS3","2012","Shooter","Activision",13.79,83,21,"5.3",922,"Treyarch","M"
"36","X360","2012","Shooter","Activision",13.67,83,73,"4.8",2256,"Treyarch","M"
"37","X360","2009","Shooter","Activision",13.47,94,100,"6.3",2698,"Infinity Ward","M"
"38","PS3","2011","Shooter","Activision",13.32,88,39,"3.2",5234,"Infinity Ward, Sledgehammer Games","M"
"39","PS2","2001","Action","Take-Two Interactive",13.1,97,56,"8.5",664,"DMA Design","M"
"40","Wii","2008","Fighting","Nintendo",12.84,93,81,"8.9",1662,"Game Arts","T"
"41","3DS","2011","Racing","Nintendo",12.66,85,73,"8.2",632,"Retro Studios, Entertainment Analysis & Development Division","E"
"42","PS3","2010","Shooter","Activision",12.63,88,58,"6.4",1094,"Treyarch","M"
"43","PS4","2014","Action","Take-Two Interactive",12.61,97,66,"8.3",2899,"Rockstar North","M"
"44","DS","2005","Simulation","Nintendo",12.13,86,57,"8.7",242,"Nintendo","E"
"45","X360","2007","Shooter","Microsoft Game Studios",12.12,94,86,"7.8",4100,"Bungie Software, Bungie","M"
"49","PS2","2004","Racing","Sony Computer Entertainment",11.66,89,74,"8.5",272,"Polyphony Digital","E"
"50","Wii","2007","Platform","Nintendo",11.35,97,73,"8.9",2147,"Nintendo","E"
"52","X360","2008","Action","Take-Two Interactive",11.01,98,86,"7.9",2951,"Rockstar North","M"
"53","PS","1997","Racing","Sony Computer Entertainment",10.95,96,16,"8.7",138,"Polyphony Digital","E"
"54","3DS","2011","Platform","Nintendo",10.81,90,82,"8.4",921,"Nintendo","E"
"55","PS3","2010","Racing","Sony Computer Entertainment",10.7,84,82,"7.5",1112,"Polyphony Digital","E"
"56","PS3","2009","Shooter","Activision",10.6,94,67,"6.3",2073,"Infinity Ward","M"
"58","PS3","2008","Action","Take-Two Interactive",10.5,98,64,"7.5",2833,"Rockstar North","M"
"61","X360","2013","Shooter","Activision",10.25,73,29,"2.6",2117,"Infinity Ward","M"
"62","Wii","2011","Misc","Ubisoft",10.12,74,15,"7.8",16,"Ubisoft","E10+"
"63","3DS","2012","Platform","Nintendo",9.9,78,70,"7.2",424,"Nintendo","E"
"65","X360","2010","Shooter","Microsoft Game Studios",9.86,91,99,"7.9",2045,"Bungie","M"
"66","PS","1997","Role-Playing","Sony Computer Entertainment",9.72,92,20,"9.2",1282,"SquareSoft","T"
"67","X360","2012","Shooter","Microsoft Game Studios",9.71,87,87,"7",3260,"343 Industries","M"
"68","PS","1999","Racing","Sony Computer Entertainment",9.49,93,23,"9",135,"Polyphony Digital","T"
"69","Wii","2010","Misc","Ubisoft",9.44,74,24,"7.3",24,"Ubisoft","E10+"
"70","PS3","2013","Shooter","Activision",9.36,71,10,"2.6",1047,"Infinity Ward","M"
"71","X360","2007","Shooter","Activision",9.31,94,70,"8.4",1320,"Infinity Ward","M"
"74","3DS","2012","Simulation","Nintendo",9.16,88,70,"8.7",626,"Nintendo","E"
"75","DS","2007","Misc","Nintendo",8.91,72,27,"7.8",85,"Hudson Soft","E"
"76","X360","2011","Role-Playing","Bethesda Softworks",8.79,96,89,"8.4",3589,"Bethesda Game Studios","M"
"78","PS4","2015","Sports","Electronic Arts",8.57,82,42,"4.3",896,"EA Sports","E"
"79","XB","2004","Shooter","Microsoft Game Studios",8.49,95,91,"8.2",1218,"Bungie Software","M"
"80","Wii","2010","Misc","Nintendo",8.38,68,42,"7.4",54,"Nd Cube","E"
"81","Wii","2007","Misc","Nintendo",8.27,62,41,"6.3",190,"Hudson","E"
"82","PS3","2012","Action","Electronic Arts",8.16,88,37,"6.6",348,"Electronic Arts","E"
"85","PS2","2001","Role-Playing","Sony Computer Entertainment",8.05,92,53,"8.7",1056,"SquareSoft","T"
"86","PC","2009","Simulation","Electronic Arts",8.01,86,75,"7.6",886,"The Sims Studio","T"
"89","PS","1999","Role-Playing","SquareSoft",7.86,90,24,"8.6",644,"SquareSoft","T"
"91","DS","2008","Role-Playing","Nintendo",7.72,83,46,"8.5",203,"Game Freak","E"
"92","PSP","2005","Action","Take-Two Interactive",7.69,88,65,"7.6",451,"Rockstar Leeds","M"
"93","PS4","2014","Shooter","Activision",7.66,83,39,"5.7",1443,"Sledgehammer Games","M"
"95","PS4","2016","Sports","Electronic Arts",7.59,85,41,"5",398,"EA Sports, EA Vancouver","E"
"98","Wii","2010","Platform","Nintendo",7.51,97,87,"9.1",1854,"Nintendo EAD Tokyo","E"
"101","X360","2008","Shooter","Activision",7.38,84,84,"7.6",580,"Treyarch","M"
"102","X360","2011","Shooter","Electronic Arts",7.32,84,57,"7.4",2142,"EA DICE","M"
"103","PS2","2003","Racing","Electronic Arts",7.2,85,33,"8.6",171,"EA Black Box","E"
"104","Wii","2009","Misc","Ubisoft",7.2,49,21,"8",110,"Ubisoft Paris","E10+"
"105","PS3","2011","Shooter","Electronic Arts",7.17,85,38,"7.5",1761,"EA DICE","M"
"106","PS4","2015","Role-Playing","Bethesda Softworks",7.16,87,58,"6.5",4228,"Bethesda Game Studios","M"
"107","PS","1998","Fighting","Sony Computer Entertainment",7.16,96,15,"9.1",367,"Namco","T"
"108","Wii","2006","Action","Nintendo",7.15,95,73,"9",1658,"Nintendo","T"
"110","PS","1998","Platform","Sony Computer Entertainment",7.13,91,12,"8.9",432,"Naughty Dog","E"
"111","WiiU","2014","Racing","Nintendo",7.09,88,82,"9.1",1599,"Nintendo","E"
"112","GC","2001","Fighting","Nintendo",7.07,92,38,"9.1",568,"HAL Labs","T"
"114","PS2","2004","Racing","Electronic Arts",6.9,82,39,"8.6",132,"EA Canada","E"
"115","PS2","2002","Shooter","Electronic Arts",6.83,88,29,"8.5",135,"EA LA","T"
"117","Wii","2012","Misc","Ubisoft",6.76,74,10,"7.3",28,"Ubisoft","E10+"
"118","X360","2008","Shooter","Microsoft Game Studios",6.75,93,90,"7.7",2739,"Epic Games","M"
"119","PS3","2011","Action","Sony Computer Entertainment",6.74,92,97,"8.3",3712,"Naughty Dog","T"
"121","PS3","2007","Shooter","Activision",6.68,94,44,"8.4",993,"Infinity Ward","M"
"122","PS3","2009","Action","Sony Computer Entertainment",6.66,96,105,"8.8",5187,"Naughty Dog","T"
"124","DS","2005","Misc","Nintendo",6.62,74,45,"7.4",27,"Nintendo","E"
"126","PS3","2010","Action","Take-Two Interactive",6.49,95,73,"8.8",2456,"Rockstar San Diego","M"
