;Name;Platform;Year_of_Release;Genre;Publisher;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Developer;Rating
1;Wii Sports;Wii;2006;Sports;Nintendo;82.53;76;51;8;322;Nintendo;E
3;Mario Kart Wii;Wii;2008;Racing;Nintendo;35.52;82;73;8.3;709;Nintendo;E
4;Wii Sports Resort;Wii;2009;Sports;Nintendo;32.77;80;73;8;192;Nintendo;E
7;New Super Mario Bros.;DS;2006;Platform;Nintendo;29.8;89;65;8.5;431;Nintendo;E
8;Wii Play;Wii;2006;Misc;Nintendo;28.92;58;41;6.6;129;Nintendo;E
9;New Super Mario Bros. Wii;Wii;2009;Platform;Nintendo;28.32;87;80;8.4;594;Nintendo;E
12;Mario Kart DS;DS;2005;Racing;Nintendo;23.21;91;64;8.6;464;Nintendo;E
14;Wii Fit;Wii;2007;Sports;Nintendo;22.7;80;63;7.7;146;Nintendo;E
15;Kinect Adventures!;X360;2010;Misc;Microsoft Game Studios;21.81;61;45;6.3;106;Good Science Studio;E
16;Wii Fit Plus;Wii;2009;Sports;Nintendo;21.79;80;33;7.4;52;Nintendo;E
17;Grand Theft Auto V;PS3;2013;Action;Take-Two Interactive;21.04;97;50;8.2;3994;Rockstar North;M
18;Grand Theft Auto: San Andreas;PS2;2004;Action;Take-Two Interactive;20.81;95;80;9;1588;Rockstar North;M
20;Brain Age: Train Your Brain in Minutes a Day;DS;2005;Misc;Nintendo;20.15;77;58;7.9;50;Nintendo;E
24;Grand Theft Auto V;X360;2013;Action;Take-Two Interactive;16.27;97;58;8.1;3711;Rockstar North;M
25;Grand Theft Auto: Vice City;PS2;2002;Action;Take-Two Interactive;16.15;95;62;8.7;730;Rockstar North;M
27;Brain Age 2: More Training in Minutes a Day;DS;2005;Puzzle;Nintendo;15.29;77;37;7.1;19;Nintendo;E
29;Gran Turismo 3: A-Spec;PS2;2001;Racing;Sony Computer Entertainment;14.98;95;54;8.4;314;Polyphony Digital;E
30;Call of Duty: Modern Warfare 3;X360;2011;Shooter;Activision;14.73;88;81;3.4;8713;Infinity Ward, Sledgehammer Games;M
33;Call of Duty: Black Ops;X360;2010;Shooter;Activision;14.61;87;89;6.3;1454;Treyarch;M
35;Call of Duty: Black Ops II;PS3;2012;Shooter;Activision;13.79;83;21;5.3;922;Treyarch;M
36;Call of Duty: Black Ops II;X360;2012;Shooter;Activision;13.67;83;73;4.8;2256;Treyarch;M
